nm0000001	Fred Astaire	1899	1987	soundtrack,actor,miscellaneous	tt0050419,tt0053137,tt0043044,tt0072308
nm0000004	John Belushi	1949	1982	actor,writer,soundtrack	tt0077975,tt0072562,tt0080455,tt0078723
nm0000005	Ingmar Bergman	1918	2007	writer,director,actor	tt0050976,tt0050986,tt0060827,tt0083922
nm0000007	Humphrey Bogart	1899	1957	actor,soundtrack,producer	tt0037382,tt0043265,tt0034583,tt0033870
nm0000008	Marlon Brando	1924	2004	actor,soundtrack,director	tt0068646,tt0078788,tt0047296,tt0070849
nm0000009	Richard Burton	1925	1984	actor,producer,soundtrack	tt0059749,tt0057877,tt0061184,tt0087803
nm0000010	James Cagney	1899	1986	actor,soundtrack,director	tt0031867,tt0029870,tt0055256,tt0035575
nm0000011	Gary Cooper	1901	1961	actor,soundtrack,producer	tt0044706,tt0027996,tt0034167,tt0035211
nm0000018	Kirk Douglas	1916	\N	actor,producer,soundtrack	tt0054331,tt0049456,tt0052365,tt0080736
nm0000020	Henry Fonda	1905	1982	actor,producer,soundtrack	tt0032551,tt0050083,tt0064116,tt0082846
nm0000022	Clark Gable	1901	1960	actor,soundtrack,producer	tt0026752,tt0052278,tt0031381,tt0025316
nm0000024	John Gielgud	1904	2000	actor,writer,director	tt0117631,tt0082031,tt0071877,tt0045943
nm0000026	Cary Grant	1904	1986	actor,soundtrack,producer	tt0056923,tt0036613,tt0048728,tt0053125
nm0000027	Alec Guinness	1914	2000	actor,soundtrack,writer	tt0051739,tt0076759,tt0041546,tt0050212
nm0000032	Charlton Heston	1923	2008	actor,director,writer	tt0063442,tt0052618,tt0070723,tt0049833
nm0000034	William Holden	1918	1981	actor,soundtrack	tt0065214,tt0046359,tt0043014,tt0074958
nm0000036	Buster Keaton	1895	1966	actor,writer,director	tt0017925,tt0015324,tt0015863,tt0016332
nm0000037	Gene Kelly	1912	1996	actor,soundtrack,director	tt0041716,tt0041944,tt0043278,tt0045152
nm0000042	Alan Ladd	1913	1964	actor,producer,camera_department	tt0043292,tt0046303,tt0035432,tt0038369
nm0000044	Burt Lancaster	1913	1994	actor,producer,miscellaneous	tt0053793,tt0050468,tt0059825,tt0045793
nm0000048	Peter Lorre	1904	1964	actor,soundtrack,writer	tt0022100,tt0036613,tt0034583,tt0033870
nm0000050	Groucho Marx	1890	1977	soundtrack,actor,writer	tt0022158,tt0028772,tt0023969,tt0026778
nm0000051	James Mason	1909	1984	actor,producer,writer	tt0047522,tt0046672,tt0056193,tt0053125
nm0000052	Marcello Mastroianni	1924	1996	actor,soundtrack,producer	tt0056801,tt0076085,tt0057171,tt0053779
nm0000053	Robert Mitchum	1917	1997	actor,soundtrack,producer	tt0039689,tt0048424,tt0050490,tt0056197
nm0000056	Paul Newman	1925	2008	actor,producer,director	tt0054997,tt0061512,tt0084855,tt0090863
nm0000057	David Niven	1910	1983	actor,producer,soundtrack	tt0052182,tt0074937,tt0061452,tt0057413
